Indicators,Government Expenditure  Accumulated(100 million yuan)
Dec-24,284612
Nov-24,245053
Oct-24,221465
Sep-24,201779
Aug-24,173898
Jul-24,155463
Jun-24,136571
May-24,108359
Apr-24,89483
Mar-24,69856
Feb-24,43624
Dec-23,274574
Nov-23,238462
Oct-23,215734
Sep-23,197897
Aug-23,171382
Jul-23,151623
Jun-23,133893
May-23,104821
Apr-23,86418
Mar-23,67915
Feb-23,40898
Dec-22,260609
Nov-22,227255
Oct-22,206334
Sep-22,190389
Aug-22,165177
Jul-22,146751
Jun-22,128887
May-22,99059
Apr-22,80933
Mar-22,63587
Feb-22,38227
Dec-21,246322
Nov-21,213924
Oct-21,193961
Sep-21,179293
Aug-21,155371
Jul-21,137928
Jun-21,121676
May-21,93553
Apr-21,76396
Mar-21,58703
Feb-21,35732.5
Dec-20,245588
Nov-20,207846
Oct-20,189439
Sep-20,175185
Aug-20,149925
Jul-20,133499
Jun-20,116411
May-20,90281
Apr-20,73595.9
Mar-20,55284
Feb-20,32350
Dec-19,238874
Nov-19,206463
Oct-19,190587
Sep-19,178612
Aug-19,153069
Jul-19,137963
Jun-19,123538
May-19,93023
Apr-19,75667
Mar-19,58629
Feb-19,33314
Dec-18,220906
Nov-18,191750.9
Oct-18,175320.3
Sep-18,163289.5
Aug-18,140673.5
Jul-18,125536.5
Jun-18,111592.1
May-18,82695.2
Apr-18,65692.6
Mar-18,50997
Feb-18,29061.8
Dec-17,203330
Nov-17,179560.4
Oct-17,162994.9
Sep-17,151873.1
Aug-17,131626.7
Jul-17,116979.4
Jun-17,103483.3
May-17,76467.4
Apr-17,59552.7
Mar-17,45917.2
Feb-17,24859.7
Nov-16,165839
Oct-16,147774.8
Sep-16,135956.2
Aug-16,116120.1
Jul-16,101933.3
Jun-16,89165
May-16,66528.1
Apr-16,51067.6
Mar-16,37958.3
Feb-16,21170.3
Dec-15,175768
Nov-15,150223.4
Oct-15,134154
Sep-15,120662.5
Aug-15,102863.8
Jul-15,90020.3
Jun-15,77287.9
May-15,58473.9
Apr-15,45349.8
Mar-15,32815.3
Feb-15,18865.2
Dec-14,151662
Nov-14,126307.9
Oct-14,113549.3
Sep-14,103639.5
Aug-14,89614
Jul-14,79410.3
Jun-14,69154.1
May-14,52632.1
Apr-14,39842.3
Mar-14,30432.5
Feb-14,17066.7
Dec-13,139744
Nov-13,114697.2
Oct-13,102039.7
Sep-13,91532.3
Aug-13,78676.1
Jul-13,69068.5
Jun-13,59714
May-13,46610.3
Apr-13,36344.7
Mar-13,27036.7
Feb-13,16104.9
Dec-12,125712
Nov-12,104895.6
Oct2012,92735.9
Sep-12,84119.3
Aug-12,72440.3
Jul-12,63420.7
Jun2012,53893
May-12,41168.8
Apr-12,32003.8
Mar-12,24118.1
Feb-12,13924.1
Dec-11,108930
Nov-11,88955.8
Oct-11,77559.6
Sep-11,69480.6
Aug-11,59462
Jul-11,51385.1
Jun-11,44435.1
May-11,33626
Apr-11,25358
Mar-11,18053.6
Feb-11,10483.6
Dec-10,89575
Nov-10,71592.9
Oct-10,60993.3
Sep-10,54505
Aug-10,46035.9
Jul-10,39622.2
Jun-10,33811.4
May-10,25692.2
Apr-10,19905.5
Mar-10,14330
Feb-10,8406
Nov-09,56236
Oct-09,49886
Sep-09,45202.8
Aug-09,38625.4
Jul-09,33888.2
Jun-09,28902.6
May-09,22497
Apr-09,17889
Mar-09,12810.9
Feb-09,7803.5
Nov-08,45825.3
Oct-08,40571.3
Sep-08,36428.1
Aug-08,31479.2
Jul-08,27443.5
Jun-08,22882
May-08,17609.8
Apr-08,13585.2
Mar-08,9506.7
Feb-08,5969.9
Nov-07,37084.8
Oct-07,32576.6
Sep-07,29016.3
Aug-07,24583.2
Jul-07,21156.6
Jun-07,17920
May-07,13431.4
Apr-07,10509.2
Mar-07,7288.8
Feb-07,4414.6
Nov-06,29611.2
Oct-06,25827.5
Sep-06,23157
Aug-06,19730.8
Jul-06,17125.9
Jun-06,14601.1
May-06,11186.5
Apr-06,9020.2
Mar-06,6291.7
Feb-06,3787.6
Nov-05,25326.3
Oct-05,22137.9
Sep-05,19949.9
Aug-05,17073.9
Jul-05,14660.6
Jun-05,12421.4
May-05,9585.4
Apr-05,7590.2
Mar-05,5209.4
Feb-05,3028.4
Nov-04,21593.7
Oct-04,19061.9
Sep-04,17144.6
Aug-04,14714.6
Jul-04,12738.2
Jun-04,10802.9
May-04,8322.6
Apr-04,6601.7
Mar-04,4502
Feb-04,2730.5
Nov-03,18932
Oct-03,16947.9
Sep-03,15264.9
Aug-03,13185.1
Jul-03,11481.4
Jun-03,9665.9
May-03,7315.6
Apr-03,5626.9
Mar-03,3892.4
Feb-03,2392.4
Nov-02,16911.4
Oct-02,15011.4
Sep-02,13497.6
Aug-02,11587
Jul-02,9979.6
Jun-02,8297.4
May-02,6334.4
Apr-02,4099.4
Mar-02,3511.4
Feb-02,2164.8
Nov-01,14504.5
Oct-01,12703.1
Sep-01,11479.6
Aug-01,9875.7
Jul-01,8408.5
Jun-01,7044.7
May-01,5324.2
Apr-01,4014.3
Mar-01,2833
Feb-01,1778.1
Nov-00,11909.3
Oct-00,10533.7
Sep-00,9452.8
Aug-00,8174.5
Jul-00,6881.7
Jun-00,5838.3
May-00,4485.9
Apr-00,3463.8
Mar-00,2376.4
Feb-00,1497.7
